#,Name,Niche,Handle,Direct Profile Link,Followers,Why Fit,Risk/Flag,Status
1,سهل مهدي / Sahel Mahdi,E-commerce,@sahelmahdi,https://www.tiktok.com/@sahelmahdi,"~277.7K (TikTok, per search-engine summary — not independently re-confirmed, site unreachable this session)","Directly teaches e-commerce/dropshipping/Instagram-commerce as core content and monetizes via his own academy — largest, best cross-corroborated candidate found this round",Nationality asserted across multiple secondary sources/snippets but no single authoritative bio page was directly loadable to confirm,Verify nationality and follower counts directly on-platform before outreach
2,د. عبدالكريم عنف / Dr. Abdulkarim Anaf,E-commerce,@anafabdulkareem,https://www.tiktok.com/@anafabdulkareem,n/a,Content directly and explicitly targets Saudi Amazon FBA sellers — squarely matches the Amazon/Noon-selling niche,"Nationality NOT confirmed Saudi — his entire career/education footprint is China-based, serving Arab entrepreneurs broadly; no source confirms Saudi nationality specifically",Nationality uncertain — high priority to verify before outreach
3,LLC4ARAB,E-commerce,@llc4arab,https://www.tiktok.com/@llc4arab,TikTok ~25.7K (58K likes),"Core audience is Gulf/Saudi e-commerce sellers; content is educational (company setup, e-commerce compliance)","This is a brand/company account, not a clearly identified individual creator — no founder name surfaced; Facebook listing shows a Delaware, US business address (likely a registered-agent address, not personal residency)",Brand/company account — founder identity unconfirmed
4,@ifast.sa,E-commerce,@ifast.sa,https://www.tiktok.com/@ifast.sa,n/a,"Content and hashtags (#تجارة_إلكترونية_للمبتدئين #متاجر_الكترونية) are squarely in scope; the "".sa"" handle plus content framing suggest a Saudi-market-focused account",Real name/identity of the creator unverified — may be a small agency/brand account rather than a named individual,"Identity unconfirmed — bare handle, verified only via search snippet"
5,فهيد الفهيد / Fahad Al-Fahad,E-commerce,@fh_afiliate0,https://www.tiktok.com/@fh_afiliate0,Reported 1.7M+ combined across platforms (per search summary — not independently verified per-platform),"Active TikTok content specifically on affiliate marketing, TikTok ad campaigns for e-commerce, and merchant coaching","Follower/merchant-count figures come from a secondary summary, not a primary bio directly viewed — treat numbers as approximate pending verification",Verify follower counts directly on-platform
6,بزنس فاطمة / Fatemah Business,E-commerce,@fatemahbusiness,https://www.tiktok.com/@fatemahbusiness,n/a,"Active, cross-platform (TikTok/Instagram/Snapchat) e-commerce education account with consistent Arabic content","Own bio describes ""a complete team,"" suggesting this is a small agency/brand account rather than one named individual; nationality not explicitly confirmed as Saudi","Team/brand account, not a confirmed individual; nationality unconfirmed"
7,"أبو إبراهيم / Abu Ibrahim (""Wolfe Wave"")",Trading,@wolfe_wave,https://www.tiktok.com/@wolfe_wave,n/a,Confirmed live TikTok account (indexed video URL); bio self-identifies as covering Saudi stocks; independently cited by a third-party X user as worth following for Saudi stock analysis,"Possible — free live technical-analysis content with no disclosed license, consistent with the CMA's standing warnings about unlicensed social-media financial content, though no explicit paid-signal evidence found","Real name not found; only ""Abu Ibrahim"" alias"
8,د. عبدالله المزراقي / Dr. Abdullah Al-Mezraqi,Trading,@dr.mezraqi,https://www.tiktok.com/@dr.mezraqi,n/a,"Active, dedicated TikTok account with a distinct content brand around Saudi TASI stock analysis and American-market options, using Saudi-specific hashtags/flag emoji","One source indicates content is framed as analysis ""without buy/sell recommendations,"" which is lower-risk than signal-selling, but this self-description is unverified",
9,USA Stock Hunter (صائد الأسهم الأمريكية),Trading,@usastockhunter,https://www.tiktok.com/@usastockhunter,"~20K (TikTok, ~103.5K likes, per search results — not independently confirmed on-profile)","Genuine, multi-platform, actively producing American-stock trading education content with a clear brand and following","HIGH — explicitly offers stock recommendations (""توصيات""), indicators, and a Telegram ""alerts"" channel alongside paid courses; free-alerts-funnel + paid-academy + recommendations is a textbook signal-selling pattern",Nationality unconfirmed — no Saudi-specific content signal found despite multi-platform presence
10,محمد الحديثي / Mohammed Al-Hudaithi,Trading,@mhmh1199,https://www.tiktok.com/@mhmh1199,~142.7K (336.9K likes),"Sizable, active TikTok account with content specifically on Saudi investment funds and zakat compliance — a distinct sub-niche (Islamic-finance-compliant investing) not covered by earlier candidates","No explicit nationality statement found; ""Al-Hudaithi"" is a tribal surname found among both Saudi/Najdi and Iraqi families — flagging as inferred, not confirmed","Nationality inferred from name, not confirmed"
